 ACQUISITION_TIME_SCET  TEC_CURRENT
      672703198.776138     0.056343
      672703199.776138     0.054203
      672703200.776062     0.046357
      672703201.776108     0.052064
      672703202.776047     0.055630
      672703203.776108     0.054203
      672703204.776016     0.046357
      672703205.776077     0.052064
      672703206.775970     0.055630
      672703207.776108     0.054203
      672703208.776108     0.045644
      672703209.776001     0.052064
      672703210.776062     0.055630
      672703211.776001     0.054203
      672703212.776077     0.052064
      672703213.776016     0.052064
      672703214.776001     0.055630
      672703215.776062     0.054203
      672703216.775955     0.052064
      672703217.776031     0.052064
      672703218.775970     0.056343
      672703219.776047     0.054203
      672703220.775986     0.052064
      672703221.776016     0.052064
      672703222.775970     0.055630
      672703223.776031     0.054917
      672703224.775955     0.052777
      672703225.776031     0.052064
      672703226.775986     0.055630
      672703227.776001     0.054203
      672703228.775955     0.052064
      672703229.776016     0.052777
      672703230.775925     0.056343
      672703231.775986     0.047784
      672703232.775986     0.046357
      672703233.775955     0.046357
      672703234.776001     0.049924
      672703235.775955     0.048497
      672703236.776001     0.046357
      672703237.775833     0.046357
      672703238.775909     0.049924
      672703239.775986     0.048497
      672703240.775909     0.046357
      672703241.775955     0.046357
      672703242.775894     0.049924
      672703243.775925     0.048497
      672703244.775909     0.046357
      672703245.775955     0.046357
      672703246.775894     0.049924
      672703247.775940     0.048497
      672703248.775955     0.046357
      672703249.775909     0.046357
      672703250.775955     0.049924
      672703251.775864     0.048497
      672703252.775909     0.046357
      672703253.775879     0.046357
      672703254.775925     0.049924
      672703255.775818     0.048497
      672703256.775925     0.046357
      672703257.775818     0.046357
      672703258.775894     0.049924
      672703259.775833     0.054917
      672703260.775909     0.052777
      672703261.775803     0.052777
      672703262.775879     0.056343
      672703263.775803     0.054917
      672703264.775864     0.052777
      672703265.775848     0.052777
      672703266.775909     0.056343
      672703267.775803     0.054917
      672703268.775848     0.052777
      672703269.775818     0.052777
      672703270.775696     0.056343
      672703271.775803     0.054917
      672703272.775848     0.052777
      672703273.775787     0.052777
      672703274.775864     0.056343
      672703275.775772     0.054917
      672703276.775803     0.052777
      672703277.775787     0.052064
      672703278.775818     0.052064
      672703279.775787     0.054203
      672703280.775833     0.055630
      672703281.775772     0.052064
      672703282.775833     0.052064
      672703283.775757     0.054917
      672703284.775818     0.055630
      672703285.775665     0.052777
      672703286.775742     0.056343
      672703287.775818     0.055630
      672703288.775726     0.055630
      672703289.775787     0.053490
      672703290.775742     0.052064
      672703291.775757     0.054917
      672703292.775726     0.055630
      672703293.775635     0.052064
      672703294.775696     0.052064
      672703295.775803     0.054917
      672703296.775711     0.054917
      672703297.775681     0.053490
      672703298.765854     0.053490
      672703298.765854     0.052777
      672703300.765884     0.052777
      672703300.765884     0.055630
      672703302.765854     0.055630
      672703302.765854     0.054203
