       ACQUISITION_TIME_UTC, ACQUISITION_TIME_SCET, LAST_EVENT, COMMANDED_TEST_MODE, COMMANDED_TEC_STATUS, COMMANDED_DETECTOR_STATUS, COMMANDED_TEC_TREF, COMMANDED_TEC_N_P, COMMANDED_TEC_N_I, COMMANDED_TEC_N_E, ANTI_WIND-UP_STATUS, ANTI_WIND-UP_METHOD, COMMANDED_TEC_N_SS, PE_ADDRESS, PE_ADDRESS_CONTENT, TEMPERATURE_FPA_1, TEMPERATURE_FPA_2, TEMPERATURE_PE, TEMPERATURE_FPA_PACKAGE, TEMPERATURE_STC_OPTICAL_BENCH, VOLTAGE_AT_3.3V, TEC_CURRENT
2020-12-14T21:46:20.052934Z,      672702378.779282,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          3,                  0,        269.894244,        270.187511,     271.737021,              269.396940,                    268.557394,        3.259602,    0.069182
2020-12-14T21:46:21.052980Z,      672702379.779327,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  0,        269.805602,        270.187511,     271.737021,              269.396940,                    268.557394,        3.259602,    0.060623
2020-12-14T21:46:22.052919Z,      672702380.779266,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  0,        269.805602,        270.187511,     271.737021,              269.396940,                    268.557394,        3.259602,    0.070609
2020-12-14T21:46:23.052980Z,      672702381.779327,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  0,        269.805602,        270.097976,     271.737021,              269.396940,                    268.557394,        3.259602,    0.070609
2020-12-14T21:46:24.052934Z,      672702382.779282,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  0,        269.716961,        270.097976,     271.737021,              269.396940,                    268.557394,        3.259602,    0.061336
2020-12-14T21:46:25.052858Z,      672702383.779205,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  0,        269.716961,        270.097976,     271.845135,              269.396940,                    268.557394,        3.259602,    0.066329
2020-12-14T21:46:26.052964Z,      672702384.779312,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  0,        269.716961,        270.008442,     271.737021,              269.396940,                    268.557394,        3.259602,    0.069896
2020-12-14T21:46:27.052918Z,      672702385.779266,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  0,        269.628319,        270.008442,     271.845135,              269.396940,                    268.557394,        3.259602,    0.062763
2020-12-14T21:46:28.052979Z,      672702386.779327,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  0,        269.628319,        269.918907,     271.845135,              269.396940,                    268.557394,        3.259602,    0.067756
2020-12-14T21:46:29.052812Z,      672702387.779160,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  0,        269.628319,        269.918907,     271.845135,              269.396940,                    268.557394,        3.259602,    0.065616
2020-12-14T21:46:30.052903Z,      672702388.779251,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  1,        269.539678,        269.918907,     271.845135,              269.396940,                    268.557394,        3.259602,    0.062049
2020-12-14T21:46:31.052873Z,      672702389.779221,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  1,        269.539678,        269.829372,     271.845135,              269.396940,                    268.557394,        3.259602,    0.069182
2020-12-14T21:46:32.052949Z,      672702390.779297,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  1,        269.539678,        269.829372,     271.845135,              269.396940,                    268.557394,        3.259602,    0.067042
2020-12-14T21:46:33.052918Z,      672702391.779266,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  1,        269.539678,        269.829372,     271.845135,              269.396940,                    268.557394,        3.259602,    0.058483
2020-12-14T21:46:34.052842Z,      672702392.779190,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  1,        269.451037,        269.739838,     271.845135,              269.396940,                    268.557394,        3.259602,    0.062049
2020-12-14T21:46:35.052812Z,      672702393.779160,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  1,        269.451037,        269.739838,     271.845135,              269.396940,                    268.557394,        3.259602,    0.068469
2020-12-14T21:46:36.052903Z,      672702394.779251,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  1,        269.362395,        269.739838,     271.953249,              269.505014,                    268.557394,        3.259602,    0.059196
2020-12-14T21:46:37.052842Z,      672702395.779190,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  1,        269.362395,        269.739838,     271.953249,              269.396940,                    268.557394,        3.259602,    0.057770
